887,53291,35768,20
1040,10763,72021,97342
1382,52712,77712,14422
1475,33549,45074,99557
2894,52977,70,49725
4210,41900,54533,47955
6550,69692,84002,41891
6688,39126,58282,48597
7114,22532,14400,18406
7436,77420,63206,98451
7628,90442,53504,69273
7754,58716,8798,21188
8641,89667,37644,34730
8809,20901,64912,26141
8960,85091,42009,28825
8982,31117,90706,85561
9551,48949,15291,16859
10178,64926,99149,34685
10779,86102,35683,5678
11041,67255,18070,96399
12312,37849,23510,27760
12467,34502,8056,55844
12952,23913,50221,8744
13564,68961,79515,48460
13620,7463,55986,86902
13655,15642,28102,88390
14312,77199,70012,88381
14720,89629,70595,14876
14992,70883,59989,21930
15327,86054,57585,55049
15904,68106,1322,88558
15909,66484,21079,1705
16964,12712,41260,10195
17520,64498,4492,11016
17592,94910,88467,88337
17713,15467,53824,16797
19148,10005,2256,52883
19404,41280,50049,33895
19450,1186,59244,95309
19493,36408,15533,70158
19615,48604,13034,19772
19783,43324,42200,57269
20033,16207,92407,30120
20905,95698,27064,51854
21878,95583,70626,89946
22673,81611,48134,97105
24371,67385,54876,70332
24589,83494,26196,45750
25448,84112,87190,69159
26062,26420,21552,80207
26218,14497,56582,56129
26892,57397,30815,20501
27055,69434,40771,4808
28513,98553,27081,31839
28614,3040,66178,10941
28783,68095,28712,16351
29853,66403,87355,90647
30255,60446,55948,11496
31305,81537,20260,84995
31458,73078,50566,14711
31889,33350,49644,33955
32363,49586,73690,29219
32388,89855,13483,72581
33097,13644,33874,21662
33118,11760,57213,51418
34651,28692,89047,11403
34948,12152,40504,48838
35593,97213,49405,11216
35827,1062,78601,90900
36055,47412,6929,44627
36297,29736,47066,97088
36711,7313,44356,98577
36748,62344,67644,97172
36922,94359,69655,12669
38191,74618,78288,55741
38932,90609,64510,83608
39496,97700,77819,70215
39966,47487,32221,56824
40516,68312,80608,14342
41245,74134,8596,8337
41262,33820,10480,87540
41393,76202,78045,17524
41515,52096,83155,35348
41705,78389,14766,62040
41764,18270,60609,33853
42215,70591,99892,89776
43612,1406,59959,23468
43741,63581,54208,20677
44099,35976,79559,23608
44101,85148,94859,79014
44448,79036,49656,15220
44773,18955,57729,22704
44799,25636,22572,24540
44927,9350,23893,84065
44941,28148,57313,88633
46775,34090,71477,87026
46783,79847,28243,61842
47608,29464,49642,93788
48013,19605,47380,62319
49163,57716,80898,60719
49477,99379,99647,67405
50926,9473,68256,29839
51083,56115,19565,77453
51757,48555,2942,94093
51954,90899,7155,93089
52488,43630,36901,10866
53097,10658,55736,9706
53116,79112,28269,16045
53451,88884,60661,88228
53492,8770,95942,23675
53778,69649,57110,25329
55297,20642,38678,76728
56472,15310,19478,85891
57388,38245,49856,42057
59328,14894,34100,60637
59452,25237,31239,31997
59568,45132,61039,44420
59711,73537,50287,558
59811,58745,16873,4040
60674,36083,27950,57617
61101,43979,37001,97544
61223,30487,26709,46010
61284,28467,57100,38110
61582,77736,63543,58635
61650,80036,56619,54144
62150,96980,39408,25756
62155,14144,72457,8534
63388,78862,55505,57201
63645,11941,24895,85258
64224,3821,47196,35134
65809,41323,38745,27450
66070,76038,32630,80331
66916,51857,54980,85298
67009,526,28543,63310
68466,42585,57945,73566
68506,25988,98258,59340
68663,23498,93691,29192
69520,15318,69051,25790
69597,28777,81629,70462
70205,56124,69236,6445
70282,99446,51177,18930
70752,57784,28494,20611
72166,14503,74357,30301
72185,61965,69128,39066
73425,95111,54434,77141
73771,65056,67557,77149
73805,62975,18225,11553
74661,91050,46106,30821
75262,68388,37485,85140
75504,88003,47887,38883
75574,65509,2597,57868
77604,53866,9771,2335
79136,26778,17377,34343
79341,58138,41029,46876
79839,92786,30017,67506
79898,33822,41149,4087
79952,98056,64923,2318
79960,27523,82908,85630
80351,71711,50829,46904
80465,64228,9193,27812
80522,75615,29725,95552
81631,47031,15851,22347
81806,71449,8375,42465
82737,20987,33758,48325
82884,64970,70031,82597
83350,31267,8944,34220
83613,88304,90922,21804
84786,3959,97817,66756
85390,32519,21400,46045
85684,16444,72792,58575
85748,27557,43512,64109
85794,66571,67369,85332
85900,49922,97319,67415
85985,79678,84449,53299
86556,61114,64800,14106
86634,11053,34156,49420
87581,9573,30000,41767
87803,13011,31535,46125
87895,27000,63284,3616
87915,24866,3763,25386
88259,52421,50808,92049
88463,2101,69214,77494
89412,60097,67381,74747
89503,73982,99792,36937
91468,45537,47808,59048
92768,79946,43867,6319
93724,40435,92180,73480
93736,14498,41072,90930
94342,11057,23436,2733
95713,30325,59535,9110
96055,73996,76429,59049
96721,55910,36384,6286
97313,21376,83934,36080
97661,9806,19774,79420
97889,95900,72052,3394
97926,46470,99461,53364
98092,37620,78511,42762
98211,62453,17796,32098
99043,18643,40618,39456
99985,39836,40336,67918
