85063,34502,61259,29340,57696,63184,2822
50614,58622,96342,18005,2920,9674,63316
39152,97564,11266,56905,86531,67237,49707
20241,30717,12708,23334,13177,20569,58451
7003,77675,17087,89066,32769,12084,45523
13627,91001,76329,64949,42642,48674,75357
20600,38256,91270,49600,66055,21662,53359
47862,10460,49497,13206,67507,79808,96194
23687,57944,46452,97752,99515,34729,94620
38847,50796,68425,97811,90725,37203,24479
88467,76210,14879,28897,78855,82745,93050
75494,58706,30268,32953,74387,70031,36622
5374,12650,69545,29370,11515,70028,24154
80372,67649,2926,10721,51366,25684,43013
23114,57840,74332,46833,39549,71117,63070
34248,75573,2186,61324,9208,74315,44459
89780,75581,57895,61966,65153,44687,72477
72876,55915,58435,39120,43726,85685,69848
35009,28110,66882,18180,26294,40456,8160
42586,72519,5276,59641,16886,91656,84830
51361,94184,83738,28010,41469,87140,26666
80,85755,4874,15131,17646,35804,6379
8616,41250,85596,15274,95095,37768,65221
96385,30577,40032,82240,89400,88315,36354
44727,83262,97211,57456,88527,34205,67682
50217,23448,27849,13657,91904,19451,50338
22355,21844,83370,22419,71802,8321,22901
4634,35495,40435,81581,88902,96296,60797
64034,18282,29816,10511,85571,74074,33087
2538,38461,62657,78011,27578,59022,80942
4772,27123,25939,68400,84993,61315,21112
45346,32758,70535,24038,44951,30065,97726
83290,84906,60648,97977,1043,86371,1329
37576,65629,99574,42581,96722,37041,38633
44727,83262,97211,57456,59115,24701,4064
3002,68848,70135,68839,80025,36919,48609
57109,25442,36791,30061,18349,60198,26442
53955,83914,5623,5217,43599,9579,63700
85449,24286,11082,72594,10391,94401,54008
17403,87334,71183,11485,29177,40221,71116
86794,2298,88008,42571,83320,42351,98600
63540,83996,9514,75450,45278,71424,46792
86794,2298,88008,42571,57213,10414,90664
93510,27284,85365,79920,27862,73861,96892
15513,16925,55520,96143,33779,54844,70818
56558,70847,15473,35748,67553,65902,24593
68956,50957,93627,41600,93459,57185,21186
50895,59801,23189,42824,94842,23296,39244
67264,10303,62417,33494,9975,93008,54693
97294,90545,87350,8144,45743,39175,72888
69169,42761,7086,95172,79937,7485,42488
94906,50443,85553,71557,16329,6220,50820
39813,13598,54473,48,52143,58910,67307
1708,64461,49318,76932,4700,35717,98775
1671,3141,36396,29513,76907,43816,47938
61179,44319,56929,60079,25596,43273,12993
41028,35088,11721,78783,16131,75858,74851
28589,44279,91431,27203,6246,70794,40695
44021,51513,30672,5372,23476,33474,78544
77271,2240,88975,44462,15051,20081,59654
97294,90545,87350,8144,51896,21903,55876
76078,30186,1497,83026,34772,35630,35374
78074,22235,68149,82963,79437,87804,18152
34608,33600,41266,24347,24607,1413,94222
71685,61456,44959,64165,80366,98822,23015
68956,50957,93627,41600,69945,81473,26465
66449,3347,76528,97312,98554,55032,56654
28589,44279,91431,27203,51379,99202,48257
80177,12115,96694,3860,63438,68400,35715
71770,92944,96726,16166,42843,68000,78202
22356,77150,38060,32578,71399,39135,20350
53083,74794,53928,94588,87869,47919,5571
63899,37856,66902,40261,19586,26198,10543
40814,17344,35120,81507,76086,74937,74584
94768,78401,88545,57701,17889,90347,54409
55833,35753,8511,11480,55699,5231,35174
33085,57172,88225,72274,93068,18728,95026
74586,56949,59187,59358,72990,14519,427
78380,83532,91207,10613,49896,32773,28079
19282,82412,66564,69061,83153,83453,52921
48682,23444,41616,81871,50669,55472,27855
52743,50628,87074,55008,76323,18352,64527
78074,22235,68149,82963,19146,46386,58137
45245,64508,11473,43364,75108,72998,43742
74259,86711,61847,44511,88961,22769,44380
